age,income,tenure,contract_type,payment_method,churn
61.0,76207.0,63.0,Month-to-month,Bank transfer,0
64.0,74015.0,32.0,Month-to-month,Bank transfer,0
46.0,41406.0,16.0,Month-to-month,Mailed check,1
53.0,15000.0,9.0,One year,Electronic check,1
70.0,23195.0,23.0,Month-to-month,Mailed check,0
66.0,80589.0,47.0,Month-to-month,Electronic check,0
19.0,47777.0,33.0,Month-to-month,Bank transfer,0
72.0,41487.0,30.0,One year,Electronic check,1
21.0,84568.0,34.0,Month-to-month,Electronic check,1
19.0,77773.0,70.0,One year,Mailed check,0
40.0,55440.0,71.0,Month-to-month,Mailed check,0
60.0,49719.0,11.0,Two year,Bank transfer,0
22.0,52622.0,8.0,One year,Mailed check,1
34.0,59089.0,17.0,Month-to-month,Credit card,0
32.0,83801.0,61.0,Month-to-month,Credit card,0
40.0,,33.0,Month-to-month,Credit card,0
74.0,68069.0,62.0,Month-to-month,Bank transfer,0
36.0,76047.0,46.0,Month-to-month,Bank transfer,1
29.0,33946.0,39.0,Two year,Bank transfer,0
24.0,68588.0,20.0,One year,Mailed check,1
29.0,49698.0,24.0,Month-to-month,Electronic check,0
25.0,15000.0,10.0,One year,Bank transfer,0
50.0,16693.0,37.0,Month-to-month,Electronic check,1
41.0,36674.0,20.0,Two year,Electronic check,0
46.0,64562.0,21.0,Month-to-month,Credit card,0
65.0,57048.0,2.0,One year,Electronic check,0
51.0,58319.0,57.0,One year,Mailed check,0
26.0,90117.0,67.0,Month-to-month,Bank transfer,0
39.0,32156.0,35.0,,Electronic check,1
35.0,54506.0,38.0,Month-to-month,Credit card,0
65.0,60480.0,66.0,Two year,Electronic check,0
35.0,,36.0,Month-to-month,Credit card,0
25.0,55510.0,44.0,One year,Bank transfer,0
59.0,26201.0,30.0,One year,Electronic check,0
42.0,80378.0,37.0,Two year,Electronic check,0
23.0,42731.0,37.0,Month-to-month,Electronic check,0
57.0,91565.0,51.0,Month-to-month,Mailed check,0
29.0,54415.0,43.0,One year,Electronic check,0
67.0,73505.0,36.0,Month-to-month,Credit card,0
65.0,54041.0,5.0,Two year,Electronic check,1
39.0,54447.0,65.0,Month-to-month,Credit card,1
49.0,44487.0,63.0,Month-to-month,Electronic check,0
50.0,57144.0,13.0,Two year,Credit card,0
55.0,60724.0,21.0,Month-to-month,Electronic check,1
21.0,40883.0,70.0,Month-to-month,Mailed check,0
36.0,52749.0,23.0,Month-to-month,Bank transfer,0
27.0,44018.0,58.0,Month-to-month,Electronic check,0
57.0,96394.0,56.0,Two year,Credit card,0
21.0,53385.0,61.0,,Electronic check,1
47.0,82814.0,1.0,Month-to-month,Mailed check,0
59.0,51479.0,34.0,Month-to-month,Mailed check,1
72.0,59667.0,40.0,Two year,Bank transfer,0
34.0,31215.0,60.0,Month-to-month,Electronic check,0
18.0,46953.0,16.0,Two year,Electronic check,0
59.0,58790.0,22.0,Two year,Electronic check,0
18.0,83548.0,12.0,Month-to-month,Electronic check,0
21.0,58996.0,54.0,Two year,Electronic check,0
74.0,79907.0,71.0,One year,Credit card,0
67.0,66533.0,10.0,Month-to-month,Mailed check,0
58.0,84293.0,16.0,Month-to-month,Bank transfer,0
65.0,,22.0,Two year,Mailed check,0
22.0,98024.0,64.0,One year,Electronic check,0
23.0,46263.0,32.0,One year,Mailed check,0
35.0,41204.0,20.0,Two year,Electronic check,0
19.0,33219.0,23.0,Month-to-month,Electronic check,0
68.0,96958.0,43.0,Two year,Mailed check,0
21.0,69750.0,27.0,Two year,Mailed check,0
49.0,,10.0,Month-to-month,Credit card,1
66.0,77482.0,59.0,Month-to-month,Electronic check,1
59.0,67378.0,30.0,Month-to-month,Mailed check,1
31.0,90390.0,18.0,Two year,Electronic check,0
44.0,27139.0,52.0,Month-to-month,Electronic check,1
49.0,50224.0,53.0,One year,Bank transfer,0
61.0,46675.0,11.0,Month-to-month,Electronic check,1
42.0,19474.0,5.0,Month-to-month,Bank transfer,0
34.0,74086.0,3.0,One year,Mailed check,0
63.0,50133.0,55.0,Month-to-month,Electronic check,1
68.0,68313.0,45.0,Two year,Credit card,0
45.0,97476.0,57.0,Month-to-month,Mailed check,0
19.0,,45.0,Two year,Bank transfer,0
46.0,47419.0,28.0,Month-to-month,Mailed check,0
68.0,57136.0,42.0,Two year,Credit card,0
74.0,72770.0,52.0,One year,Electronic check,0
40.0,44799.0,28.0,Month-to-month,Mailed check,0
26.0,43643.0,65.0,Month-to-month,Bank transfer,0
50.0,74029.0,64.0,Month-to-month,Electronic check,0
65.0,61816.0,57.0,One year,Mailed check,0
71.0,18195.0,71.0,Two year,Credit card,0
20.0,32943.0,28.0,Month-to-month,Bank transfer,0
34.0,82022.0,8.0,Month-to-month,Bank transfer,0
45.0,62235.0,34.0,One year,Bank transfer,0
23.0,41280.0,53.0,Month-to-month,Credit card,0
68.0,51933.0,56.0,One year,Credit card,0
24.0,55238.0,27.0,Month-to-month,Bank transfer,0
55.0,68243.0,21.0,One year,Electronic check,0
70.0,30551.0,32.0,Two year,Electronic check,0
57.0,39863.0,57.0,Month-to-month,Bank transfer,0
61.0,59913.0,4.0,Month-to-month,Credit card,0
33.0,53203.0,23.0,Month-to-month,Mailed check,1
65.0,65293.0,16.0,One year,Electronic check,0
41.0,32869.0,58.0,Month-to-month,Electronic check,0
21.0,61428.0,33.0,Two year,Mailed check,0
38.0,74649.0,6.0,One year,Credit card,0
37.0,63763.0,18.0,Month-to-month,Electronic check,0
47.0,57504.0,3.0,One year,Bank transfer,0
33.0,53274.0,34.0,Month-to-month,Bank transfer,0
44.0,39973.0,71.0,Two year,Credit card,0
42.0,53704.0,40.0,Month-to-month,Electronic check,0
36.0,77675.0,62.0,One year,Credit card,1
57.0,52857.0,53.0,Two year,Bank transfer,0
35.0,38984.0,63.0,One year,Bank transfer,0
61.0,46140.0,22.0,Two year,Electronic check,0
32.0,,68.0,Month-to-month,Mailed check,0
67.0,48277.0,17.0,Two year,Bank transfer,0
38.0,63735.0,31.0,One year,Electronic check,1
20.0,,49.0,One year,Mailed check,1
26.0,71002.0,20.0,Month-to-month,Bank transfer,1
63.0,80624.0,19.0,Month-to-month,Bank transfer,1
67.0,72925.0,9.0,One year,Electronic check,0
30.0,38184.0,0.0,Month-to-month,Mailed check,1
52.0,38736.0,36.0,One year,Electronic check,0
50.0,53636.0,71.0,Two year,Credit card,0
25.0,46879.0,15.0,Two year,Credit card,1
43.0,34510.0,31.0,Month-to-month,Electronic check,1
57.0,47050.0,67.0,Two year,Electronic check,0
73.0,46459.0,55.0,Month-to-month,Electronic check,0
66.0,42907.0,0.0,Month-to-month,Mailed check,1
23.0,49316.0,36.0,Two year,Credit card,0
31.0,76212.0,10.0,Month-to-month,Mailed check,0
42.0,,17.0,Month-to-month,Electronic check,0
26.0,,17.0,Month-to-month,Electronic check,1
50.0,58069.0,44.0,Month-to-month,Electronic check,1
18.0,49779.0,14.0,Two year,Credit card,1
24.0,55074.0,18.0,Month-to-month,Bank transfer,0
20.0,59617.0,16.0,Month-to-month,Bank transfer,0
34.0,62835.0,25.0,One year,Electronic check,0
61.0,92381.0,47.0,Month-to-month,Credit card,0
28.0,39784.0,28.0,One year,Electronic check,0
74.0,70463.0,23.0,Two year,Credit card,0
33.0,58740.0,37.0,One year,Credit card,0
20.0,26720.0,44.0,Two year,Mailed check,0
37.0,68873.0,1.0,Month-to-month,Credit card,1
60.0,77817.0,64.0,Two year,Electronic check,0
24.0,39571.0,65.0,Month-to-month,Bank transfer,0
22.0,54839.0,43.0,Month-to-month,Electronic check,0
66.0,23944.0,41.0,One year,Mailed check,0
51.0,32341.0,50.0,Month-to-month,Electronic check,0
37.0,73865.0,31.0,Two year,Electronic check,0
61.0,46605.0,26.0,One year,Electronic check,0
66.0,35042.0,25.0,Two year,Electronic check,0
38.0,59130.0,11.0,Month-to-month,Bank transfer,1
49.0,45597.0,60.0,Month-to-month,Mailed check,0
18.0,46525.0,23.0,One year,Electronic check,0
35.0,68308.0,20.0,Month-to-month,Credit card,0
51.0,34089.0,69.0,Month-to-month,Credit card,0
29.0,38703.0,36.0,One year,Electronic check,1
74.0,57773.0,44.0,Two year,Mailed check,0
73.0,72449.0,17.0,One year,Bank transfer,0
32.0,77287.0,19.0,Month-to-month,Bank transfer,0
40.0,43029.0,52.0,Month-to-month,Mailed check,0
28.0,71873.0,32.0,One year,Bank transfer,0
46.0,40885.0,10.0,Month-to-month,Electronic check,0
25.0,87872.0,60.0,Month-to-month,Electronic check,0
40.0,34592.0,28.0,Month-to-month,Bank transfer,1
49.0,78913.0,48.0,Month-to-month,Bank transfer,0
52.0,43183.0,24.0,Month-to-month,Credit card,0
51.0,91238.0,40.0,Month-to-month,Electronic check,0
30.0,65644.0,55.0,One year,Electronic check,0
63.0,36712.0,63.0,Month-to-month,Electronic check,0
57.0,45600.0,14.0,One year,Electronic check,1
60.0,69061.0,48.0,Month-to-month,Electronic check,0
44.0,73948.0,65.0,Two year,Mailed check,0
68.0,53727.0,46.0,Month-to-month,Mailed check,1
40.0,55804.0,10.0,Month-to-month,Bank transfer,0
63.0,68650.0,13.0,Month-to-month,Mailed check,1
29.0,57372.0,14.0,Month-to-month,Electronic check,1
32.0,31717.0,7.0,Month-to-month,Bank transfer,0
48.0,40366.0,54.0,Two year,Electronic check,0
49.0,59232.0,69.0,Two year,Credit card,0
60.0,76879.0,37.0,Month-to-month,Electronic check,0
34.0,84088.0,43.0,Month-to-month,Mailed check,0
67.0,69032.0,55.0,One year,Credit card,0
36.0,60171.0,29.0,One year,Bank transfer,0
48.0,68479.0,34.0,Month-to-month,Bank transfer,1
71.0,42998.0,42.0,One year,Bank transfer,0
48.0,52242.0,21.0,Month-to-month,Electronic check,1
56.0,40166.0,4.0,One year,Bank transfer,0
69.0,32523.0,40.0,Month-to-month,Credit card,1
73.0,61004.0,59.0,Month-to-month,Credit card,0
46.0,58339.0,5.0,Month-to-month,Mailed check,1
41.0,67378.0,15.0,One year,Electronic check,1
29.0,64830.0,18.0,Month-to-month,Bank transfer,0
48.0,59368.0,57.0,,Mailed check,0
70.0,65019.0,36.0,One year,Electronic check,0
45.0,54232.0,38.0,One year,Electronic check,0
37.0,62432.0,46.0,Month-to-month,Electronic check,1
24.0,41929.0,19.0,Month-to-month,Mailed check,1
40.0,61655.0,51.0,Month-to-month,Electronic check,0
31.0,67032.0,2.0,One year,Electronic check,1
73.0,42946.0,8.0,Two year,Electronic check,0
48.0,55933.0,58.0,Month-to-month,Credit card,0
25.0,43775.0,47.0,Two year,Electronic check,0
21.0,45523.0,12.0,Month-to-month,Electronic check,1
66.0,34751.0,31.0,Month-to-month,Mailed check,1
71.0,77784.0,3.0,Month-to-month,Electronic check,1
61.0,74182.0,48.0,One year,Credit card,0
25.0,64674.0,54.0,Month-to-month,Credit card,0
23.0,,20.0,Month-to-month,Mailed check,1
29.0,51594.0,25.0,One year,Mailed check,1
60.0,109572.0,17.0,Month-to-month,Mailed check,0
61.0,50904.0,28.0,Month-to-month,Electronic check,0
65.0,59593.0,19.0,Month-to-month,Electronic check,0
23.0,47840.0,17.0,Month-to-month,Electronic check,0
26.0,61702.0,30.0,Month-to-month,Electronic check,0
69.0,70041.0,61.0,Month-to-month,Bank transfer,0
70.0,52950.0,54.0,One year,Electronic check,0
59.0,86981.0,21.0,Month-to-month,Electronic check,0
24.0,59305.0,67.0,One year,Mailed check,0
21.0,59869.0,15.0,Month-to-month,Mailed check,1
21.0,38638.0,65.0,Month-to-month,Electronic check,1
57.0,62533.0,22.0,Month-to-month,Electronic check,1
66.0,52588.0,38.0,Month-to-month,Electronic check,0
54.0,44052.0,14.0,Month-to-month,Electronic check,0
32.0,41023.0,54.0,Month-to-month,Credit card,0
61.0,103092.0,22.0,Two year,Credit card,0
21.0,50257.0,62.0,Two year,Mailed check,0
65.0,28774.0,5.0,Month-to-month,Mailed check,1
68.0,42432.0,36.0,One year,Bank transfer,0
58.0,54072.0,11.0,One year,Bank transfer,0
68.0,64840.0,64.0,Two year,Electronic check,0
51.0,64986.0,30.0,Month-to-month,Electronic check,1
44.0,67179.0,48.0,Month-to-month,Mailed check,1
36.0,43393.0,63.0,Month-to-month,Bank transfer,1
70.0,61128.0,38.0,Month-to-month,Electronic check,0
57.0,39231.0,4.0,Month-to-month,Electronic check,1
28.0,43846.0,15.0,Two year,Electronic check,0
72.0,38481.0,15.0,Two year,Electronic check,0
21.0,33609.0,65.0,,Mailed check,1
51.0,74156.0,65.0,Month-to-month,Bank transfer,0
28.0,67395.0,34.0,Month-to-month,Mailed check,1
55.0,72580.0,64.0,Month-to-month,Electronic check,0
41.0,55708.0,17.0,One year,Electronic check,0
42.0,68983.0,48.0,Month-to-month,Credit card,0
56.0,23297.0,28.0,Two year,Mailed check,0
61.0,70536.0,17.0,Two year,Electronic check,0
39.0,58188.0,18.0,,Electronic check,0
74.0,66288.0,30.0,One year,Credit card,0
46.0,61840.0,24.0,Month-to-month,Bank transfer,0
27.0,37233.0,15.0,Month-to-month,Credit card,1
18.0,28035.0,24.0,Month-to-month,Bank transfer,1
29.0,42183.0,9.0,One year,Mailed check,0
57.0,65169.0,69.0,Month-to-month,Mailed check,1
48.0,67422.0,27.0,Two year,Electronic check,0
37.0,30377.0,7.0,Month-to-month,Bank transfer,1
45.0,37340.0,41.0,Month-to-month,Bank transfer,1
65.0,,63.0,Month-to-month,Electronic check,0
50.0,48569.0,25.0,Two year,Credit card,0
21.0,30483.0,60.0,Month-to-month,Mailed check,0
20.0,29403.0,43.0,Month-to-month,Electronic check,1
45.0,40207.0,53.0,Month-to-month,Electronic check,0
41.0,56553.0,21.0,One year,Credit card,0
66.0,33749.0,2.0,Two year,Credit card,0
51.0,52916.0,24.0,Month-to-month,Mailed check,0
61.0,74054.0,66.0,Two year,Credit card,0
51.0,,56.0,Month-to-month,Credit card,1
37.0,51284.0,56.0,One year,Credit card,1
55.0,73446.0,63.0,Month-to-month,Credit card,0
53.0,47471.0,26.0,Month-to-month,Mailed check,1
59.0,44674.0,23.0,One year,Bank transfer,0
28.0,75943.0,66.0,Month-to-month,Bank transfer,1
54.0,49488.0,41.0,Month-to-month,Bank transfer,0
